Name,Position,Overall,Defence,Offence,Teammate,Salary
Ben Simmons,3,87,85,84,,8.11
Donte Divincenzo,6,75,73,70,,2.91
Thaddeus Young,4,79,74,82,3,12.9
Andre Drummond,5,86,84,70,2,27.09
Kemba Walker,1,88,72,83,,32.74
Landry Shamet,2,76,66,74,6,2
Kyle Anderson,7,74,67,72,5,9.07
Dillon Brookes,6,74,72,75,,1.62
John Collins,7,84,69,83,,2.69
Jimmy Butler,3,88,89,83,,32.74
Miles Bridges,3,76,75,77,,3.76
Donovan Mitchell,2,88,80,83,12,28.64
Jordan Clarkson,1,78,69,79,11,13.44
Buddy Hield,2,84,68,79,,4.86
Reggie Bullock,2,74,59,72,,4
Lebron James,7,97,91,89,16,37.44
Avery Bradley,6,76,74,62,15,4.77
Markelle Fultz,6,74,68,72,18,9.75
Aaron Gordon,7,81,73,82,17,19.86
Maxi Kleber,4,75,63,71,,8
Jarrett Allen,5,79,79,71,21,2.38
Spencer Dinwiddie,6,81,61,77,20,10.61
Victor Oladipo,2,87,87,85,,21
Og Anunoby,3,73,76,66,,2.28
Kevin Durant,7,96,79,94,,38.2
Fred Vanvleet,6,79,61,73,26,9.35
Norman Powell,3,74,70,75,25,10.12
Russell Westbrook,1,90,88,89,28,38.51
James Harden,6,96,80,93,27,38.2
Deandre Ayton,5,83,77,77,,9.56
Chris Paul,1,85,85,83,,38.51
Jeremy Lin,6,75,63,69,,3.5
Qi Zhou,4,70,66,61,33,2
Jianlian Yi,7,78,73,80,32,3.8
